protein1,protein2,combined_score
9606.ENSP00000002125,9606.ENSP00000301457,740
9606.ENSP00000002125,9606.ENSP00000263774,735
9606.ENSP00000002125,9606.ENSP00000356972,947
9606.ENSP00000002125,9606.ENSP00000252711,721
9606.ENSP00000002125,9606.ENSP00000315774,791
9606.ENSP00000002125,9606.ENSP00000233627,813
9606.ENSP00000002125,9606.ENSP00000259037,708
9606.ENSP00000002125,9606.ENSP00000423673,702
9606.ENSP00000002125,9606.ENSP00000349142,825
9606.ENSP00000002125,9606.ENSP00000417142,705
9606.ENSP00000003084,9606.ENSP00000366488,976
9606.ENSP00000003084,9606.ENSP00000309591,982
9606.ENSP00000003084,9606.ENSP00000359719,976
9606.ENSP00000003302,9606.ENSP00000272317,932
9606.ENSP00000003302,9606.ENSP00000441543,991
9606.ENSP00000003302,9606.ENSP00000388107,951
9606.ENSP00000003302,9606.ENSP00000478771,930
9606.ENSP00000003302,9606.ENSP00000269305,806
9606.ENSP00000005178,9606.ENSP00000378487,829
9606.ENSP00000005178,9606.ENSP00000306253,825
9606.ENSP00000005178,9606.ENSP00000307786,718
9606.ENSP00000005178,9606.ENSP00000363435,817
9606.ENSP00000005257,9606.ENSP00000394560,925
9606.ENSP00000005257,9606.ENSP00000378974,926
9606.ENSP00000005257,9606.ENSP00000291295,827
9606.ENSP00000005257,9606.ENSP00000369689,816
9606.ENSP00000005257,9606.ENSP00000315299,817
9606.ENSP00000005257,9606.ENSP00000304643,786
9606.ENSP00000005257,9606.ENSP00000419081,786
9606.ENSP00000005257,9606.ENSP00000499717,849
9606.ENSP00000005284,9606.ENSP00000379098,766
9606.ENSP00000005284,9606.ENSP00000500386,805
9606.ENSP00000005286,9606.ENSP00000324173,723
9606.ENSP00000005340,9606.ENSP00000298910,739
9606.ENSP00000006053,9606.ENSP00000497260,800
9606.ENSP00000009105,9606.ENSP00000419081,800
9606.ENSP00000009105,9606.ENSP00000499797,791
9606.ENSP00000009105,9606.ENSP00000291295,943
9606.ENSP00000009105,9606.ENSP00000369689,837
9606.ENSP00000009105,9606.ENSP00000304643,809
9606.ENSP00000009105,9606.ENSP00000315299,837
9606.ENSP00000009530,9606.ENSP00000388107,973
9606.ENSP00000009530,9606.ENSP00000349142,839
9606.ENSP00000009530,9606.ENSP00000381736,865
9606.ENSP00000009530,9606.ENSP00000272317,974
9606.ENSP00000009530,9606.ENSP00000256383,868
9606.ENSP00000011653,9606.ENSP00000244007,737
9606.ENSP00000011653,9606.ENSP00000365230,746
9606.ENSP00000011653,9606.ENSP00000311032,772
9606.ENSP00000011653,9606.ENSP00000480012,709
9606.ENSP00000011653,9606.ENSP00000269305,703
9606.ENSP00000012443,9606.ENSP00000351908,970
9606.ENSP00000013222,9606.ENSP00000367309,950
9606.ENSP00000013222,9606.ENSP00000340684,930
9606.ENSP00000016171,9606.ENSP00000263774,750
9606.ENSP00000016171,9606.ENSP00000258424,804
9606.ENSP00000016171,9606.ENSP00000306397,978
9606.ENSP00000016171,9606.ENSP00000429707,739
9606.ENSP00000016171,9606.ENSP00000296684,882
9606.ENSP00000016171,9606.ENSP00000229379,801
9606.ENSP00000016171,9606.ENSP00000365243,850
9606.ENSP00000016171,9606.ENSP00000317159,961
9606.ENSP00000016171,9606.ENSP00000268379,888
9606.ENSP00000016171,9606.ENSP00000457513,846
9606.ENSP00000016171,9606.ENSP00000315774,784
9606.ENSP00000016171,9606.ENSP00000359098,757
9606.ENSP00000016171,9606.ENSP00000233627,720
9606.ENSP00000016171,9606.ENSP00000425759,892
9606.ENSP00000016171,9606.ENSP00000466818,931
9606.ENSP00000016171,9606.ENSP00000332887,715
9606.ENSP00000016171,9606.ENSP00000367939,745
9606.ENSP00000016171,9606.ENSP00000497474,803
9606.ENSP00000016171,9606.ENSP00000339720,850
9606.ENSP00000016171,9606.ENSP00000317780,941
9606.ENSP00000016171,9606.ENSP00000287490,829
9606.ENSP00000016171,9606.ENSP00000340568,799
9606.ENSP00000016171,9606.ENSP00000330737,711
9606.ENSP00000016171,9606.ENSP00000203407,842
9606.ENSP00000016171,9606.ENSP00000430494,739
9606.ENSP00000019103,9606.ENSP00000360141,993
9606.ENSP00000020945,9606.ENSP00000269305,915
9606.ENSP00000025008,9606.ENSP00000269305,984
9606.ENSP00000025008,9606.ENSP00000351908,912
9606.ENSP00000025008,9606.ENSP00000364204,719
9606.ENSP00000025301,9606.ENSP00000309591,939
9606.ENSP00000025301,9606.ENSP00000359719,948
9606.ENSP00000025301,9606.ENSP00000366488,775
9606.ENSP00000029410,9606.ENSP00000354689,707
9606.ENSP00000037243,9606.ENSP00000359719,938
9606.ENSP00000037243,9606.ENSP00000357876,946
9606.ENSP00000037243,9606.ENSP00000364204,708
9606.ENSP00000037243,9606.ENSP00000366488,937
9606.ENSP00000037243,9606.ENSP00000309591,938
9606.ENSP00000044462,9606.ENSP00000216802,990
9606.ENSP00000044462,9606.ENSP00000441543,966
9606.ENSP00000044462,9606.ENSP00000215071,999
9606.ENSP00000044462,9606.ENSP00000286788,731
9606.ENSP00000044462,9606.ENSP00000484998,999
9606.ENSP00000044462,9606.ENSP00000216797,772
9606.ENSP00000044462,9606.ENSP00000483688,999
9606.ENSP00000044462,9606.ENSP00000419834,816
9606.ENSP00000044462,9606.ENSP00000370222,999
9606.ENSP00000044462,9606.ENSP00000299300,731
9606.ENSP00000044462,9606.ENSP00000263256,994
9606.ENSP00000044462,9606.ENSP00000216455,999
9606.ENSP00000044462,9606.ENSP00000329915,789
9606.ENSP00000044462,9606.ENSP00000261303,999
9606.ENSP00000044462,9606.ENSP00000364016,999
9606.ENSP00000044462,9606.ENSP00000386541,999
9606.ENSP00000044462,9606.ENSP00000363993,999
9606.ENSP00000044462,9606.ENSP00000309474,999
9606.ENSP00000044462,9606.ENSP00000362334,999
9606.ENSP00000044462,9606.ENSP00000250495,765
9606.ENSP00000044462,9606.ENSP00000315602,939
9606.ENSP00000044462,9606.ENSP00000225474,836
9606.ENSP00000044462,9606.ENSP00000271308,999
9606.ENSP00000044462,9606.ENSP00000261751,938
9606.ENSP00000044462,9606.ENSP00000471735,729
9606.ENSP00000044462,9606.ENSP00000257787,927
9606.ENSP00000044462,9606.ENSP00000310129,999
9606.ENSP00000044462,9606.ENSP00000231487,718
9606.ENSP00000044462,9606.ENSP00000311121,995
9606.ENSP00000044462,9606.ENSP00000219313,999
9606.ENSP00000044462,9606.ENSP00000262193,999
9606.ENSP00000044462,9606.ENSP00000396937,998
9606.ENSP00000044462,9606.ENSP00000210313,740
9606.ENSP00000044462,9606.ENSP00000261479,999
9606.ENSP00000044462,9606.ENSP00000299565,946
9606.ENSP00000044462,9606.ENSP00000272317,978
9606.ENSP00000044462,9606.ENSP00000348442,999
9606.ENSP00000044462,9606.ENSP00000355865,894
9606.ENSP00000044462,9606.ENSP00000357292,995
9606.ENSP00000044462,9606.ENSP00000414359,999
9606.ENSP00000044462,9606.ENSP00000376055,741
9606.ENSP00000044462,9606.ENSP00000293362,887
9606.ENSP00000044462,9606.ENSP00000351777,821
9606.ENSP00000044462,9606.ENSP00000270586,999
9606.ENSP00000044462,9606.ENSP00000372155,992
9606.ENSP00000044462,9606.ENSP00000478877,978
9606.ENSP00000044462,9606.ENSP00000437955,734
9606.ENSP00000044462,9606.ENSP00000290541,999
9606.ENSP00000044462,9606.ENSP00000355325,999
9606.ENSP00000044462,9606.ENSP00000418695,999
9606.ENSP00000044462,9606.ENSP00000258886,723
9606.ENSP00000044462,9606.ENSP00000259457,999
9606.ENSP00000044462,9606.ENSP00000356421,998
9606.ENSP00000044462,9606.ENSP00000386212,880
9606.ENSP00000044462,9606.ENSP00000338039,982
9606.ENSP00000044462,9606.ENSP00000358474,733
9606.ENSP00000044462,9606.ENSP00000373640,889
9606.ENSP00000044462,9606.ENSP00000351314,995
9606.ENSP00000044462,9606.ENSP00000478771,970
9606.ENSP00000044462,9606.ENSP00000325919,971
9606.ENSP00000044462,9606.ENSP00000428209,853
9606.ENSP00000044462,9606.ENSP00000264639,998
9606.ENSP00000044462,9606.ENSP00000256637,805
9606.ENSP00000044462,9606.ENSP00000261601,996
9606.ENSP00000044462,9606.ENSP00000223321,999
9606.ENSP00000044462,9606.ENSP00000357876,999
9606.ENSP00000044462,9606.ENSP00000216225,716
9606.ENSP00000044462,9606.ENSP00000296786,716
9606.ENSP00000044462,9606.ENSP00000270142,745
9606.ENSP00000044462,9606.ENSP00000296328,733
9606.ENSP00000044462,9606.ENSP00000391211,999
9606.ENSP00000044462,9606.ENSP00000359910,999
9606.ENSP00000044462,9606.ENSP00000481029,999
9606.ENSP00000044462,9606.ENSP00000157812,999
9606.ENSP00000044462,9606.ENSP00000310572,999
9606.ENSP00000044462,9606.ENSP00000384211,992
9606.ENSP00000044462,9606.ENSP00000418734,729
9606.ENSP00000044462,9606.ENSP00000388107,943
9606.ENSP00000044462,9606.ENSP00000261712,999
9606.ENSP00000046794,9606.ENSP00000244007,999
9606.ENSP00000053468,9606.ENSP00000290299,715
9606.ENSP00000053468,9606.ENSP00000388107,951
9606.ENSP00000053468,9606.ENSP00000349142,835
9606.ENSP00000053468,9606.ENSP00000394560,796
9606.ENSP00000053468,9606.ENSP00000381736,847
9606.ENSP00000053468,9606.ENSP00000256383,909
9606.ENSP00000053468,9606.ENSP00000378974,799
9606.ENSP00000053867,9606.ENSP00000340820,885
9606.ENSP00000078429,9606.ENSP00000244007,936
9606.ENSP00000078429,9606.ENSP00000360141,702
9606.ENSP00000078445,9606.ENSP00000359719,732
9606.ENSP00000078445,9606.ENSP00000336790,935
9606.ENSP00000078445,9606.ENSP00000356919,754
9606.ENSP00000081029,9606.ENSP00000394560,807
9606.ENSP00000081029,9606.ENSP00000378974,803
9606.ENSP00000155840,9606.ENSP00000419081,985
9606.ENSP00000155840,9606.ENSP00000359719,959
9606.ENSP00000155840,9606.ENSP00000499797,970
9606.ENSP00000155840,9606.ENSP00000309591,970
9606.ENSP00000155840,9606.ENSP00000291295,999
9606.ENSP00000155840,9606.ENSP00000315299,988
9606.ENSP00000155840,9606.ENSP00000366488,959
9606.ENSP00000155840,9606.ENSP00000304643,984
9606.ENSP00000155840,9606.ENSP00000369689,988
9606.ENSP00000156084,9606.ENSP00000388107,904
9606.ENSP00000156084,9606.ENSP00000478771,906
9606.ENSP00000156084,9606.ENSP00000272317,951
9606.ENSP00000156084,9606.ENSP00000441543,982
9606.ENSP00000157812,9606.ENSP00000481021,745
9606.ENSP00000157812,9606.ENSP00000250495,704
9606.ENSP00000157812,9606.ENSP00000362334,999
9606.ENSP00000157812,9606.ENSP00000309474,999
9606.ENSP00000157812,9606.ENSP00000386541,999
9606.ENSP00000157812,9606.ENSP00000363993,988
9606.ENSP00000157812,9606.ENSP00000261303,999
9606.ENSP00000157812,9606.ENSP00000364016,987
9606.ENSP00000157812,9606.ENSP00000216455,998
9606.ENSP00000157812,9606.ENSP00000263256,994
9606.ENSP00000157812,9606.ENSP00000419834,759
9606.ENSP00000157812,9606.ENSP00000497594,821
9606.ENSP00000157812,9606.ENSP00000484998,999
9606.ENSP00000157812,9606.ENSP00000483688,999
9606.ENSP00000157812,9606.ENSP00000441543,972
9606.ENSP00000157812,9606.ENSP00000467024,727
9606.ENSP00000157812,9606.ENSP00000215071,999
9606.ENSP00000157812,9606.ENSP00000216802,824
9606.ENSP00000157812,9606.ENSP00000272317,962
9606.ENSP00000157812,9606.ENSP00000348442,999
9606.ENSP00000157812,9606.ENSP00000278572,708
9606.ENSP00000157812,9606.ENSP00000396937,999
9606.ENSP00000157812,9606.ENSP00000210313,999
9606.ENSP00000157812,9606.ENSP00000261479,999
9606.ENSP00000157812,9606.ENSP00000219313,999
9606.ENSP00000157812,9606.ENSP00000262193,999
9606.ENSP00000157812,9606.ENSP00000311121,987
9606.ENSP00000157812,9606.ENSP00000449328,752
9606.ENSP00000157812,9606.ENSP00000217958,999
9606.ENSP00000157812,9606.ENSP00000310129,999
9606.ENSP00000157812,9606.ENSP00000438071,997
9606.ENSP00000157812,9606.ENSP00000379217,913
9606.ENSP00000157812,9606.ENSP00000271308,999
9606.ENSP00000157812,9606.ENSP00000044462,999
9606.ENSP00000157812,9606.ENSP00000318646,706
9606.ENSP00000157812,9606.ENSP00000225474,801
9606.ENSP00000157812,9606.ENSP00000393241,726
9606.ENSP00000157812,9606.ENSP00000350708,875
9606.ENSP00000157812,9606.ENSP00000356421,999
9606.ENSP00000157812,9606.ENSP00000386212,742
9606.ENSP00000157812,9606.ENSP00000347184,734
9606.ENSP00000157812,9606.ENSP00000230050,707
9606.ENSP00000157812,9606.ENSP00000238156,808
9606.ENSP00000157812,9606.ENSP00000259457,998
9606.ENSP00000157812,9606.ENSP00000418695,999
9606.ENSP00000157812,9606.ENSP00000290541,999
9606.ENSP00000157812,9606.ENSP00000355325,999
9606.ENSP00000157812,9606.ENSP00000259335,877
9606.ENSP00000157812,9606.ENSP00000478877,999
9606.ENSP00000157812,9606.ENSP00000372155,856
9606.ENSP00000157812,9606.ENSP00000293362,756
9606.ENSP00000157812,9606.ENSP00000351777,855
9606.ENSP00000157812,9606.ENSP00000270586,998
9606.ENSP00000157812,9606.ENSP00000356405,708
9606.ENSP00000157812,9606.ENSP00000496250,703
9606.ENSP00000157812,9606.ENSP00000414359,999
9606.ENSP00000157812,9606.ENSP00000355865,824
9606.ENSP00000157812,9606.ENSP00000440485,986
9606.ENSP00000157812,9606.ENSP00000261712,999
9606.ENSP00000157812,9606.ENSP00000369757,713
9606.ENSP00000157812,9606.ENSP00000388107,935
9606.ENSP00000157812,9606.ENSP00000384211,803
9606.ENSP00000157812,9606.ENSP00000308873,829
9606.ENSP00000157812,9606.ENSP00000435096,731
9606.ENSP00000157812,9606.ENSP00000389103,706
9606.ENSP00000157812,9606.ENSP00000500990,735
9606.ENSP00000157812,9606.ENSP00000310572,999
9606.ENSP00000157812,9606.ENSP00000481029,999
9606.ENSP00000157812,9606.ENSP00000262584,734
9606.ENSP00000157812,9606.ENSP00000270142,830
9606.ENSP00000157812,9606.ENSP00000391211,999
9606.ENSP00000157812,9606.ENSP00000359910,998
9606.ENSP00000157812,9606.ENSP00000495273,743
9606.ENSP00000157812,9606.ENSP00000362744,728
9606.ENSP00000157812,9606.ENSP00000357876,999
9606.ENSP00000157812,9606.ENSP00000296786,944
9606.ENSP00000157812,9606.ENSP00000261601,999
9606.ENSP00000157812,9606.ENSP00000223321,999
9606.ENSP00000157812,9606.ENSP00000472985,711
9606.ENSP00000157812,9606.ENSP00000264639,999
9606.ENSP00000157812,9606.ENSP00000478771,965
9606.ENSP00000157812,9606.ENSP00000351314,929
9606.ENSP00000158771,9606.ENSP00000338348,806
9606.ENSP00000158771,9606.ENSP00000451261,963
9606.ENSP00000158771,9606.ENSP00000324173,946
9606.ENSP00000162749,9606.ENSP00000269305,741
9606.ENSP00000162749,9606.ENSP00000258080,996
9606.ENSP00000162749,9606.ENSP00000266000,944
9606.ENSP00000162749,9606.ENSP00000311032,853
9606.ENSP00000162749,9606.ENSP00000378974,715
9606.ENSP00000162749,9606.ENSP00000441543,734
9606.ENSP00000164133,9606.ENSP00000216037,750
9606.ENSP00000164133,9606.ENSP00000354859,902
9606.ENSP00000164139,9606.ENSP00000419081,857
9606.ENSP00000164139,9606.ENSP00000291295,868
9606.ENSP00000164139,9606.ENSP00000369689,867
9606.ENSP00000164139,9606.ENSP00000304643,860
9606.ENSP00000164139,9606.ENSP00000321260,775
9606.ENSP00000164139,9606.ENSP00000315299,867
9606.ENSP00000166345,9606.ENSP00000317159,912
9606.ENSP00000167106,9606.ENSP00000439020,967
9606.ENSP00000167106,9606.ENSP00000320295,889
9606.ENSP00000168216,9606.ENSP00000401445,728
9606.ENSP00000169551,9606.ENSP00000370808,909
9606.ENSP00000169551,9606.ENSP00000299166,877
9606.ENSP00000172229,9606.ENSP00000311032,820
9606.ENSP00000176183,9606.ENSP00000358867,724
9606.ENSP00000176183,9606.ENSP00000340684,892
9606.ENSP00000176183,9606.ENSP00000312999,730
9606.ENSP00000176183,9606.ENSP00000497260,814
9606.ENSP00000176183,9606.ENSP00000367309,785
9606.ENSP00000176183,9606.ENSP00000354859,816
9606.ENSP00000176183,9606.ENSP00000370571,708
9606.ENSP00000176183,9606.ENSP00000270349,960
9606.ENSP00000176195,9606.ENSP00000360141,928
9606.ENSP00000179259,9606.ENSP00000269305,981
9606.ENSP00000184266,9606.ENSP00000354961,999
9606.ENSP00000184266,9606.ENSP00000339720,993
9606.ENSP00000184266,9606.ENSP00000355206,997
9606.ENSP00000184266,9606.ENSP00000259037,999
9606.ENSP00000184266,9606.ENSP00000423673,999
9606.ENSP00000184266,9606.ENSP00000281031,999
9606.ENSP00000184266,9606.ENSP00000296597,892
9606.ENSP00000184266,9606.ENSP00000354499,869
9606.ENSP00000184266,9606.ENSP00000367939,997
9606.ENSP00000184266,9606.ENSP00000497474,927
9606.ENSP00000184266,9606.ENSP00000354665,987
9606.ENSP00000184266,9606.ENSP00000498408,773
9606.ENSP00000184266,9606.ENSP00000354554,886
9606.ENSP00000184266,9606.ENSP00000407336,999
9606.ENSP00000184266,9606.ENSP00000306003,936
9606.ENSP00000184266,9606.ENSP00000458770,999
9606.ENSP00000184266,9606.ENSP00000392709,999
9606.ENSP00000184266,9606.ENSP00000327268,999
9606.ENSP00000184266,9606.ENSP00000317780,988
9606.ENSP00000184266,9606.ENSP00000260361,976
9606.ENSP00000184266,9606.ENSP00000290299,866
9606.ENSP00000184266,9606.ENSP00000441126,999
9606.ENSP00000184266,9606.ENSP00000354813,999
9606.ENSP00000184266,9606.ENSP00000266544,999
9606.ENSP00000184266,9606.ENSP00000417142,999
9606.ENSP00000184266,9606.ENSP00000300688,828
9606.ENSP00000184266,9606.ENSP00000292475,767
9606.ENSP00000184266,9606.ENSP00000299166,999
9606.ENSP00000184266,9606.ENSP00000478766,973
9606.ENSP00000184266,9606.ENSP00000287490,930
9606.ENSP00000184266,9606.ENSP00000377411,767
9606.ENSP00000184266,9606.ENSP00000276062,999
9606.ENSP00000184266,9606.ENSP00000482543,999
9606.ENSP00000184266,9606.ENSP00000274137,999
9606.ENSP00000184266,9606.ENSP00000498656,773
9606.ENSP00000184266,9606.ENSP00000430494,995
9606.ENSP00000184266,9606.ENSP00000261584,973
9606.ENSP00000184266,9606.ENSP00000358840,889
9606.ENSP00000184266,9606.ENSP00000356953,706
9606.ENSP00000184266,9606.ENSP00000419087,999
9606.ENSP00000184266,9606.ENSP00000349142,757
9606.ENSP00000184266,9606.ENSP00000330737,999
9606.ENSP00000184266,9606.ENSP00000203407,967
9606.ENSP00000184266,9606.ENSP00000421076,731
9606.ENSP00000184266,9606.ENSP00000338641,773
9606.ENSP00000184266,9606.ENSP00000306397,980
9606.ENSP00000184266,9606.ENSP00000355046,998
9606.ENSP00000184266,9606.ENSP00000354687,996
9606.ENSP00000184266,9606.ENSP00000263774,999
9606.ENSP00000184266,9606.ENSP00000497587,999
9606.ENSP00000184266,9606.ENSP00000354728,988
9606.ENSP00000184266,9606.ENSP00000258424,984
9606.ENSP00000184266,9606.ENSP00000418438,999
9606.ENSP00000184266,9606.ENSP00000276689,999
9606.ENSP00000184266,9606.ENSP00000450909,709
9606.ENSP00000184266,9606.ENSP00000360492,999
9606.ENSP00000184266,9606.ENSP00000389160,999
9606.ENSP00000184266,9606.ENSP00000215565,999
9606.ENSP00000184266,9606.ENSP00000229379,761
9606.ENSP00000184266,9606.ENSP00000268379,951
9606.ENSP00000184266,9606.ENSP00000317159,928
9606.ENSP00000184266,9606.ENSP00000457513,942
9606.ENSP00000184266,9606.ENSP00000296684,999
9606.ENSP00000184266,9606.ENSP00000429707,985
9606.ENSP00000184266,9606.ENSP00000323076,873
9606.ENSP00000184266,9606.ENSP00000354876,801
9606.ENSP00000184266,9606.ENSP00000301457,999
9606.ENSP00000184266,9606.ENSP00000301587,839
9606.ENSP00000184266,9606.ENSP00000364699,806
9606.ENSP00000184266,9606.ENSP00000483888,999
9606.ENSP00000184266,9606.ENSP00000233627,999
9606.ENSP00000184266,9606.ENSP00000292907,941
9606.ENSP00000184266,9606.ENSP00000425759,984
9606.ENSP00000184266,9606.ENSP00000369176,999
9606.ENSP00000184266,9606.ENSP00000418803,997
9606.ENSP00000184266,9606.ENSP00000358272,888
9606.ENSP00000184266,9606.ENSP00000252711,999
9606.ENSP00000184266,9606.ENSP00000470539,755
9606.ENSP00000184266,9606.ENSP00000315774,999
9606.ENSP00000184266,9606.ENSP00000466818,956
9606.ENSP00000184266,9606.ENSP00000497305,765
9606.ENSP00000184266,9606.ENSP00000362873,999
9606.ENSP00000184266,9606.ENSP00000354982,864
9606.ENSP00000184266,9606.ENSP00000252102,999
9606.ENSP00000184266,9606.ENSP00000306362,773
9606.ENSP00000184266,9606.ENSP00000332887,994
9606.ENSP00000184266,9606.ENSP00000362058,999
9606.ENSP00000184266,9606.ENSP00000356972,999
9606.ENSP00000184266,9606.ENSP00000467262,975
9606.ENSP00000184266,9606.ENSP00000268668,999
9606.ENSP00000184266,9606.ENSP00000389649,890
9606.ENSP00000184266,9606.ENSP00000309565,952
9606.ENSP00000184266,9606.ENSP00000420714,770
9606.ENSP00000184266,9606.ENSP00000263578,810
9606.ENSP00000184266,9606.ENSP00000346196,999
9606.ENSP00000185150,9606.ENSP00000338348,831
9606.ENSP00000185150,9606.ENSP00000324173,821
9606.ENSP00000185150,9606.ENSP00000451261,922
9606.ENSP00000194130,9606.ENSP00000310129,762
9606.ENSP00000196371,9606.ENSP00000364649,816
9606.ENSP00000196371,9606.ENSP00000264932,874
9606.ENSP00000196371,9606.ENSP00000356953,804
9606.ENSP00000198767,9606.ENSP00000417142,704
9606.ENSP00000199280,9606.ENSP00000309591,960
9606.ENSP00000199280,9606.ENSP00000366488,960
9606.ENSP00000199280,9606.ENSP00000359719,959
9606.ENSP00000199320,9606.ENSP00000272317,832
9606.ENSP00000199389,9606.ENSP00000380252,914
9606.ENSP00000199389,9606.ENSP00000256383,996
9606.ENSP00000199389,9606.ENSP00000336790,820
9606.ENSP00000199447,9606.ENSP00000363641,747
9606.ENSP00000200453,9606.ENSP00000448665,949
9606.ENSP00000200453,9606.ENSP00000364649,746
9606.ENSP00000200453,9606.ENSP00000307786,785
9606.ENSP00000200453,9606.ENSP00000430494,854
9606.ENSP00000200453,9606.ENSP00000239223,746
9606.ENSP00000200453,9606.ENSP00000307235,901
9606.ENSP00000200453,9606.ENSP00000367939,861
9606.ENSP00000200453,9606.ENSP00000317780,744
9606.ENSP00000200453,9606.ENSP00000392709,859
9606.ENSP00000200453,9606.ENSP00000327268,842
9606.ENSP00000200453,9606.ENSP00000336790,979
9606.ENSP00000200453,9606.ENSP00000356919,779
9606.ENSP00000200453,9606.ENSP00000315774,915
9606.ENSP00000200453,9606.ENSP00000332887,863
9606.ENSP00000200453,9606.ENSP00000356972,866
9606.ENSP00000200453,9606.ENSP00000256383,999
9606.ENSP00000200453,9606.ENSP00000306397,975
9606.ENSP00000200453,9606.ENSP00000497587,854
9606.ENSP00000200453,9606.ENSP00000263774,869
9606.ENSP00000200453,9606.ENSP00000317159,975
9606.ENSP00000200453,9606.ENSP00000268379,809
9606.ENSP00000202556,9606.ENSP00000269305,986
9606.ENSP00000202967,9606.ENSP00000360671,852
9606.ENSP00000203407,9606.ENSP00000364699,727
9606.ENSP00000203407,9606.ENSP00000261643,723
9606.ENSP00000203407,9606.ENSP00000359098,833
9606.ENSP00000203407,9606.ENSP00000242784,751
9606.ENSP00000203407,9606.ENSP00000483888,893
9606.ENSP00000203407,9606.ENSP00000233627,997
9606.ENSP00000203407,9606.ENSP00000342056,710
9606.ENSP00000203407,9606.ENSP00000292907,998
9606.ENSP00000203407,9606.ENSP00000184266,967
9606.ENSP00000203407,9606.ENSP00000355623,924
9606.ENSP00000203407,9606.ENSP00000425759,994
9606.ENSP00000203407,9606.ENSP00000369176,945
9606.ENSP00000203407,9606.ENSP00000205402,831
9606.ENSP00000203407,9606.ENSP00000252711,996
9606.ENSP00000203407,9606.ENSP00000315774,998
9606.ENSP00000203407,9606.ENSP00000466818,989
9606.ENSP00000203407,9606.ENSP00000497305,950
9606.ENSP00000203407,9606.ENSP00000362873,992
9606.ENSP00000203407,9606.ENSP00000354982,990
9606.ENSP00000203407,9606.ENSP00000252102,992
9606.ENSP00000203407,9606.ENSP00000332887,999
9606.ENSP00000203407,9606.ENSP00000362058,999
9606.ENSP00000203407,9606.ENSP00000356972,999
9606.ENSP00000203407,9606.ENSP00000378516,851
9606.ENSP00000203407,9606.ENSP00000467262,999
9606.ENSP00000203407,9606.ENSP00000367938,926
9606.ENSP00000203407,9606.ENSP00000321260,816
9606.ENSP00000203407,9606.ENSP00000332983,793
9606.ENSP00000203407,9606.ENSP00000268668,986
9606.ENSP00000203407,9606.ENSP00000309565,999
9606.ENSP00000203407,9606.ENSP00000346196,938
9606.ENSP00000203407,9606.ENSP00000306397,999
9606.ENSP00000203407,9606.ENSP00000355046,933
9606.ENSP00000203407,9606.ENSP00000482773,766
9606.ENSP00000203407,9606.ENSP00000354687,955
9606.ENSP00000203407,9606.ENSP00000263774,995
9606.ENSP00000203407,9606.ENSP00000497587,999
9606.ENSP00000203407,9606.ENSP00000354728,964
9606.ENSP00000203407,9606.ENSP00000381736,970
9606.ENSP00000203407,9606.ENSP00000258424,999
9606.ENSP00000203407,9606.ENSP00000418438,939
9606.ENSP00000203407,9606.ENSP00000276689,996
9606.ENSP00000203407,9606.ENSP00000360492,922
9606.ENSP00000203407,9606.ENSP00000215565,991
9606.ENSP00000203407,9606.ENSP00000216254,855
9606.ENSP00000203407,9606.ENSP00000389160,969
9606.ENSP00000203407,9606.ENSP00000229379,989
9606.ENSP00000203407,9606.ENSP00000365243,968
9606.ENSP00000203407,9606.ENSP00000268379,999
9606.ENSP00000203407,9606.ENSP00000317159,999
9606.ENSP00000203407,9606.ENSP00000441875,887
9606.ENSP00000203407,9606.ENSP00000457513,998
9606.ENSP00000203407,9606.ENSP00000296684,993
9606.ENSP00000203407,9606.ENSP00000467579,805
9606.ENSP00000203407,9606.ENSP00000429707,965
9606.ENSP00000203407,9606.ENSP00000354876,979
9606.ENSP00000203407,9606.ENSP00000369134,778
9606.ENSP00000203407,9606.ENSP00000301457,950
9606.ENSP00000203407,9606.ENSP00000464849,749
9606.ENSP00000203407,9606.ENSP00000301587,863
9606.ENSP00000203407,9606.ENSP00000327070,921
9606.ENSP00000203407,9606.ENSP00000358737,903
9606.ENSP00000203407,9606.ENSP00000354813,942
9606.ENSP00000203407,9606.ENSP00000266544,998
9606.ENSP00000203407,9606.ENSP00000417142,992
9606.ENSP00000203407,9606.ENSP00000215375,968
9606.ENSP00000203407,9606.ENSP00000322439,983
9606.ENSP00000203407,9606.ENSP00000299166,982
9606.ENSP00000203407,9606.ENSP00000287490,994
9606.ENSP00000203407,9606.ENSP00000360782,951
9606.ENSP00000203407,9606.ENSP00000307786,925
9606.ENSP00000203407,9606.ENSP00000276062,940
9606.ENSP00000203407,9606.ENSP00000482543,987
9606.ENSP00000203407,9606.ENSP00000264932,968
9606.ENSP00000203407,9606.ENSP00000274137,990
9606.ENSP00000203407,9606.ENSP00000413908,831
9606.ENSP00000203407,9606.ENSP00000364649,938
9606.ENSP00000203407,9606.ENSP00000430494,999
9606.ENSP00000203407,9606.ENSP00000261584,734
9606.ENSP00000203407,9606.ENSP00000371425,770
9606.ENSP00000203407,9606.ENSP00000356953,709
9606.ENSP00000203407,9606.ENSP00000419087,866
9606.ENSP00000203407,9606.ENSP00000349142,955
9606.ENSP00000203407,9606.ENSP00000355574,831
9606.ENSP00000203407,9606.ENSP00000330737,999
9606.ENSP00000203407,9606.ENSP00000307241,826
